Default Dataset,
X,Y
0.058860503006294085,370.8242616984227
0.23560576612936535,355.80026050422794
0.377300780154072,344.1409926470076
0.4977215022371464,333.85194520674946
0.6525733378544909,322.3190707154218
0.8074251734718358,311.126863327753
0.9730542430698748,302.14782815002434
1.1166723181130251,290.29035662145657
1.279354577258029,277.6748430232889
1.4415803098095328,266.4826416553242
1.616095870584635,255.86420577155084
1.7660317749125412,248.98913253888875
1.9308600593231597,241.80463578573315
2.2084655909620974,225.0701343347805
2.3706913235136016,216.14510408491589
2.532917056065105,206.62187862326937
2.695142788616609,198.67356258925196
2.8573685211681132,192.22436894207556
3.0195942537196174,190.452079255436
3.196567780139439,186.8988765776745
3.3587935126909434,184.59792889895414
3.5210192452424476,182.20235146921743
3.6832449777939518,180.84770130066056
3.845470710345455,179.25647675456275
3.9972862354605,177.2160307155284
4.169922175448463,176.40523179092446
4.332147907999968,171.9751147143363
4.494373640551471,166.1255513725029
4.632019716655777,161.14641146838505
4.954302916737065,148.68980742806872
5.068484187568157,141.07062084606537
5.246511127835717,132.4710944333741
5.40873686038722,123.404119556985
5.556214799070407,113.7309765138437
5.733188325490229,99.66808854403905
5.85669672763534,89.45097907035176
5.998648615119963,79.37022366038616
6.2567350078155375,56.59160754809352
6.427469082983379,44.93447803682494
6.52956919437943,34.289043694905615
6.677047133062615,23.059766968384395
6.792571518364445,13.465324535495256
6.927759628824031,3.5622624711812136
4.801526717557252,155.90418531192427
6.1206106870229,67.46874177415106
2.090076335877863,232.55165833113978
