EBP40 24V,,EBP40 12V,,EBP25,,EBP23,
X,Y,X,Y,X,Y,X,Y
0.09503683725837675,0.8321264020723885,0.7521872122090416,0.8235815946306271,0.0950368372583208,0.44082328233507273,0.07069793448234307,0.24449713240522308
0.36276476779383326,0.8301639582580127,1.0239716265404901,0.8216327788982954,0.3627647677937773,0.4404144398737444,0.3384258650177996,0.24269822557537857
0.6304926983292889,0.828405935674301,1.2852091830023582,0.8198038902879535,0.6304926983292338,0.4402100186430802,0.6061537955532561,0.24102197148393267
0.8982206288647454,0.8265252603521908,1.5553710038154094,0.8180162266257955,0.8982206288646903,0.43959675495108796,0.8738817260887117,0.23930483314635387
1.165948559400202,0.8247263535223462,1.8230989343508668,0.8161815460805848,1.1659485594001469,0.43951498645882225,1.1416096566241682,0.23758769480877495
1.4336764899356575,0.8229683309386346,2.0908268648863224,0.8143417550046075,1.4336764899356034,0.4389834912590954,1.4093375871596248,0.23595232496346175
1.701404420471114,0.8212103083549229,2.358554795421778,0.8126246166670287,1.701404420471059,0.4386155330439,1.6770655176950804,0.23419430237975014
1.9691323510065697,0.819493170017344,2.6262827259572354,0.8106621728526529,1.9691323510065164,0.4384928803055015,1.9447934482305378,0.23247716404217134
2.2368602815420253,0.8177760316797653,2.894010656492691,0.8089041502689411,2.236860281541972,0.43792050085964196,2.2125213787659916,0.23084179419685802
2.5045882120774827,0.8160180090960536,3.1617385870281467,0.8069417064545653,2.5045882120774294,0.43771607962897774,2.480249309301449,0.2291246558592792
2.7723161426129383,0.8143008707584747,3.4294665175636023,0.8049383783940566,2.772316142612885,0.4374707741521807,2.7479772398369047,0.2274075175217003
3.0400440731483958,0.8124610796824974,3.6971944480990597,0.8028941660874152,3.0400440731483425,0.4368983947063212,3.0157051703723603,0.2256903791841215
3.3077720036838514,0.8107030570987857,3.9649223786345154,0.8007273010423751,3.307772003683798,0.4368166262140555,3.2834331009078177,0.22393235660040978
3.575499934219309,0.8088632660228083,4.232650309169973,0.7985604359973352,3.5754999342192555,0.43648955224499286,3.5511610314432733,0.22225610250896377
3.8432278647547626,0.8069825907006981,4.500378239705428,0.7962709182138967,3.843227864754711,0.435958057045266,3.8188889619787307,0.22049807992525206
4.110955795290218,0.8050201468863223,4.768106170240882,0.7937769791997942,4.110955795290167,0.4359171727991332,4.086616892514185,0.21874005734154034
4.378683725825676,0.8029759345796808,5.03583410077634,0.7912012716934258,4.378683725825624,0.4354674460916721,4.354344823049642,0.21694115051169582
4.646411656361131,0.8008499537807736,5.303562031311795,0.7884211429563934,4.64641165636108,0.43501771938421097,4.622072753585098,0.2151422436818513
4.914139586896589,0.7986422044896009,5.571289961847253,0.7854774772348296,4.914139586896537,0.43501771938421097,4.889800684120555,0.2133433368520068
5.181867517432044,0.796475339444561,5.8390178923827065,0.782002316313539,5.181867517431993,0.4344862241844841,5.157528614656011,0.21150354577602948
